,Title,Year,Release Date,Rating,Num Raters,Popularity,Runtime (hrs),Budget ($),Revenue ($),Profit ($),Genres,Actors,Keywords,Production Companies,Countries
824,Scooby-Doo! Pirates Ahoy!,2006,2006-01-01,7.7,206,27.31,1.33,0,0,,"['Fantasy', 'Animation', 'Comedy', 'Family', 'Mystery', 'Adventure']","['Casey Kasem', 'Kathy Najimy', 'Mindy Cohn', 'Frank Welker', 'Freddy Rodríguez', 'Dan Castellaneta', 'Tim Conway', 'Grey DeLisle', 'Ron Perlman', 'Arsenio Hall', 'Edie McClurg']",['Piratas'],['Warner Bros. Animation'],['United States of America']
825,How the Grinch Stole Christmas!,1966,1966-12-18,7.5,777,14.29,0.43,315000,0,,"['Animation', 'Family', 'Comedy']","['Boris Karloff', 'June Foray', 'Thurl Ravenscroft', 'Dal McKennon']","['Holiday', 'Based On Novel Or Book', 'Monster', 'Obsession', 'Santa Claus', 'Heart', 'Materialism', 'Sleigh', 'Christmas Tree', 'Affection', 'Surrealism', 'Snow', 'Dog', 'Christmas']","['The Cat in the Hat Productions', 'MGM Television', 'MGM Animation/Visual Arts']",['United States of America']
826,Rudolph the Red-Nosed Reindeer,1964,1964-12-06,7.3,410,15.255,0.87,0,0,,"['Animation', 'Family', 'TV Movie']","['Burl Ives', 'Billie Mae Richards', 'Larry D. Mann', 'Stan Francis', 'Paul Kligman', 'Janis Orenstein', 'Alfie Scopp', 'Carl Banas', 'Peg Dixon', 'Paul Soles', 'Corinne Conley']","['Winter', 'Santa Claus', 'Misfit', 'Snowman', 'Stop Motion', 'Reindeer', 'North Pole', 'Christmas', 'Rudolph']","['Rankin/Bass Productions', 'Videocraft International', 'National Broadcasting Company']","['Canada', 'Japan', 'United States of America']"
827,The Year Without a Santa Claus,1974,1974-12-10,7.3,132,6.576,0.85,0,0,,"['Animation', 'Family', 'TV Movie']","['Shirley Booth', 'Mickey Rooney', 'Dick Shawn', 'George S. Irving', 'Bob McFadden', 'Rhoda Mann', 'Bradley Bolke', 'Ron Marshall', 'Colin Duffy', 'Christine Winter']","['Sibling Relationship', 'Elves', 'Based On Novel Or Book', 'Santa Claus', 'Stop Motion', 'Christmas']",['Rankin/Bass Productions'],['United States of America']
828,Santa Claus Is Comin' to Town,1970,1970-12-14,7.1,162,7.788,0.83,0,0,,"['TV Movie', 'Animation', 'Family', 'Fantasy']","['Fred Astaire', 'Mickey Rooney', 'Keenan Wynn', 'Paul Frees', 'Robie Lester', 'Billie Mae Richards', 'Harvey Korman']","['Santa Claus', 'Musical', 'Surrealism', 'Stop Motion', 'Family Relationships', 'Wedding', 'Foundling', 'Christmas']","['Videocraft International', 'Rankin/Bass Productions']",['United States of America']
829,Friday Night Lights,2004,2004-10-08,6.9,425,10.101,1.97,30000000,61255921,31255921.0,['Drama'],"['Billy Bob Thornton', 'Lucas Black', 'Garrett Hedlund', 'Derek Luke', 'Jay Hernandez', 'Lee Thompson Young', 'Tim McGraw', 'Stephen Bishop', 'Grover Coulson', 'Connie Britton', 'Connie Cooper', 'Kasey Stevens', 'Ryanne Duzich', 'Morgan Farris', 'Katherine Willis', 'Ken Farmer', 'Amber Heard', 'Brad Leland', 'Jeff Gibbs']","['American Football', 'Based On Novel Or Book', 'Texas', 'Career', 'Season', 'Comeback', 'Sports', 'High School', 'Coach', 'Racism', 'Drunk', 'Injury', 'Quarterback']","['Imagine Entertainment', 'Friday Night Lights', 'MDBF Filmgesellschaft mbH & Company KG', 'Universal Pictures']",['United States of America']
830,Angels & Demons,2009,2009-05-13,6.7,5808,59.647,2.30,150000000,485930816,335930816.0,"['Thriller', 'Mystery']","['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino', 'Nikolaj Lie Kaas', 'Armin Mueller-Stahl', 'Thure Lindhardt', 'David Pasquesi', 'Cosimo Fusco', 'Victor Alfieri', 'Franklin Amobi', 'Curt Lowens', 'Bob Yerkes', 'Marc Fiorini', 'Carmen Argenziano', 'Howard Mungo', 'Rance Howard', 'Steve Franken', 'Gino Conforti', 'Elya Baskin', 'Richard Rosetti', 'Silvano Marchetto', 'Thomas Morris', 'Jonas Fisch', 'August Wittgenstein', 'Ben Bela Böhm', 'Paul Schmitz', 'Jeffrey Boehm', 'Xavier J. Nathan', 'Steve Kehela', 'Ursula Brooks', 'Rashmi', 'Yan Cui', 'Fritz Michel', 'Maria Cristina Heller', 'Rafael Petardi', 'Yesenia Adame', 'Kristof Konrad', 'Masasa Moyo', 'Ed Francis Martin', 'Cheryl Howard', 'Endre Hules', 'Norbert Weisser', 'Shelby Zemanek', 'Vanna Salviati', 'Raffi Di Blasio', 'Todd Schneider', 'Roberto Donati', 'Rocco Passafaro', 'Emanuele Secci', 'Anna Katarina', 'James Ritz', 'Felipe Torres Urso', 'Jose David Acevedo', 'Roy Allen III', 'Tibor Ambra', 'Christine Ames', 'Victor of Aquitaine', 'Michael Ark', 'John Jason Bailey', 'Jerred Berg', 'Sally Berman', 'Yuki Bird', 'Anthony Bonaventura', 'Robert Bradvica', 'Ciara Bravo', 'Michael Patrick Breen', 'Aidan Bristow', 'Cheryl BryantBruce', 'Raúl Cardona', 'Christopher Casa', 'Patrick Casa', 'Pasquale Cassalia', 'Farouk Chakwa', 'Bacha Chilaia', 'Jason Ciok', 'Jimmy Clabots', 'Mark E. Clason', 'Tammy Colbert', 'Austin Michael Coleman', 'Robert Corvin', 'Luca Costa', ""Gina D'Acciaro"", 'John Dardenne', 'William ""Will"" Daubert', 'Shervin Davatgar', 'Blake Dawson', 'Vincent De Paul', 'Calvin Dean', 'David Dedinsky', 'Lea Deesing', 'Norman Deesing', 'Angelique Deuitch', 'Paul DiVito', 'Brant Dorman', 'Allen Dula', 'Liz Duran', 'Matthew Earnest', 'Peter Ettinger', 'Jonn Faircrest', 'Les Feltmate', 'William Ferguson', 'Amanda Jane Fleming', 'David Fletcher', 'Gregory George Frank', 'Harrison Freed', 'Aaron Denius Garcia', 'Nancy Gassner-Clayton', 'Justin Giddings', 'Phil Gold', 'Alan Gray', 'Marco Greco', 'Roger Groh', 'Nancy Guerriero', 'Andrew Hamilton', 'Martin Harris', 'Miriam Harris', 'Charlie Heydt', 'David Hill', 'Kei Hirayama', 'Brett Hunt', 'Marco Infante', 'Clark James', 'Christopher Karl Johnson', 'Dave Johnson', 'Gina Juliet', 'Andrea Kelley', 'Slim Khezri', 'Sophiah Koikas', 'Michael Laren', 'Robert W. Laur', 'Adrian Lee', 'Waymond Lee', 'David Michael Lewin', 'Maynor Lopez', 'Jon Lucero', 'Eder López', 'Julie Mabry', 'Les Mahoney', 'Gary Mandarino', 'Albert Marrero Jr.', 'Stephen Marrero', 'Carina Aviles Marshall', 'Debbie McAlister', 'Sandra McCurdy', 'Anthony Molinari', 'Elsa Morales Myers', 'Mary E. Morales', 'Sauvion Morkunas', 'William Myers', 'Manuel Nardi', 'Justin Orton', 'Sarita Ospina', 'Dale Pavinski', 'Amelia Pawlak', 'David Pearl', 'David Pryor', 'Lawrence Ravettina', 'Paul Richard', 'Louis Riviere', 'Jarrod Robbins', 'Bertrand Roberson Jr.', 'John Robert', 'Adriana Roze', 'Franklin Ruehl', 'Kelly Ryan', 'Dylan Saccoccio', 'Frank Scozzari', 'James Seaman', 'Eric Shackelford', 'Keith Shawn', 'Jutta Speidel', 'Arne Starr', 'Matthew Thane', 'GJ Tiari', 'Nico Toffoli', 'Devin Toft', 'James Tumminia', 'Julian Vada', 'Ryan Van de Kamp Buchanan', 'Ernie Ventry', 'Damon Viola', 'Shannon Watson', 'Denise Winsor', 'Jon Morgan Woodward', 'Allan Yates']","['Rome, Italy', 'Vatican', 'Based On Novel Or Book', 'Symbolism', 'Illuminati', 'Quantum Mechanics', 'Prequel', 'Anti Matter', 'Conspiracy', 'Investigator', 'Catholicism', 'Cern']","['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Panorama Films']","['Italy', 'United States of America']"
831,Star Trek,2009,2009-05-06,7.4,8647,54.577,2.12,150000000,385680446,235680446.0,"['Science Fiction', 'Action', 'Adventure']","['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Bruce Greenwood', 'John Cho', 'Simon Pegg', 'Anton Yelchin', 'Eric Bana', 'Leonard Nimoy', 'Winona Ryder', 'Ben Cross', 'Chris Hemsworth', 'Jennifer Morrison', 'Rachel Nichols', 'Faran Tahir', 'Clifton Collins Jr.', 'Tony Elias', 'Sean Gerace', 'Randy Pausch', 'Tim Griffin', 'Freda Foh Shen', 'Kasia Kowalczyk', 'Jason Brooks', 'Sonita Henry', 'Kelvin Yu', 'Marta Martin', 'Tavarus Conley', 'Jeff Castle', 'Billy Brown', 'Jimmy Bennett', 'Greg Grunberg', 'Spencer Daniels', 'Jeremy Fitzgerald', 'Zoe Chernov', 'Max Chernov', 'Jacob Kogan', 'Lorenzo James Henrie', 'Colby Paul', 'Cody Klop', 'Akiva Goldsman', 'Anna Katarina', 'Douglas Tait', 'Tony Guma', 'Gerald W. Abrams', 'James McGrath', 'Jason Matthew Smith', 'Marcus Young', 'Bob Clendenin', 'Darlena Tejeiro', 'Reggie Lee', 'Jeffrey Byron', 'Jonathan Dixon', 'Tyler Perry', 'Ben Binswagner', 'Margot Farley', 'Paul McGillion', 'Lisa Vidal', 'Alex Nevil', 'Kimberly Arland', 'Sufe Bradshaw', 'Jeff Chase', 'Charles Haugk', 'Nana Hill', 'Michael Saglimbeni', 'John Blackman', 'Jack Millard', 'Shaela Luter', 'Sabrina Morris', 'Michelle Parylak', 'Oz Perkins', 'Amanda Foreman', 'Michael Berry Jr.', 'Lucia Rijker', 'Pasha D. Lychnikoff', 'Matthew Beisner', 'Neville Page', 'Jesper Inglis', 'Greg Ellis', 'Marlene Forte', 'Leonard O. Turner', 'Mark Bramhall', 'Ronald F. Hoiseck', 'Irene Roseen', ""Jeff O'Haco"", 'Scottie Thompson', 'Deep Roy', 'Majel Barrett', 'Ronnie Steadman', 'Arne Starr', 'Rico E. Anderson', 'Richard Arnold', 'Tad Atkinson', 'Leslie Augustine', 'Johnny Baca', 'Diora Baird', 'Sala Baker', 'Leo Baligaya', 'Corey Becker', 'Larry Blackman', 'Jessica Boss', 'Neil S. Bulk', 'Etalvia Cashin', 'James Cawley', 'Brad Champagne', 'Zachary Culbertson', 'Jeffrey De Serrano', 'T.C. De Witt', 'Calvin Dean', 'Christopher Doohan', 'Claire Doré', 'Etienne Eckert', 'Ken Edling', 'Aliza Finley', 'Ian Fisher', 'Anna Florence', 'Mathew Thomas Foss', 'Massi Furlan', 'Tommy Germanovich Jr.', 'Mary Grace', 'Wyatt Gray', 'Nancy Guerriero', 'Jarrell Hall', 'Justin Rodgers Hall', 'Jeffery Hauser', 'Brad William Henke', 'Ryan T. Husk', 'Elizabeth Ingalls', 'Sierra Kane', 'Christopher Karl Johnson', 'Jolene Kay', 'Lauren Mary Kim', 'Sarah Klaren', 'Makiko Konishi', 'Tashana Landray', 'Daniel D. Lee', 'Anne Leighton', 'James Lew', 'Jill Lover', 'Steve Luna', 'Aaron Lynch', 'Justin Malachi', 'Nav Mann', 'Paul Marshall', 'Owen Martin', 'Taylor McCluskey', 'Matthew McGregor', 'Caitlin McKenna-Wilkinson', 'Andrew Mew ', 'Patrizia Milano', 'Heidi Moneymaker', 'Kevin Moser', 'Jonathan Dunkerley Newkerk', 'Westley Nguyen', 'Jim Nieb', 'Andres Perez-Molina', 'Mark Phelan', 'Damion Poitier', 'Rahvaunia', 'Bertrand Roberson Jr.', 'Deborah Rombaut', 'Leonard Jonathan Ruebe', 'Darth Schuhe', 'Ramona Seymour', 'William Morgan Sheppard', 'Katie Soo', 'Joseph Stephens Jr.', 'Joseph Steven', 'T.J. Storm', 'Kaitlin Sullivan', 'Paul Townsend', 'Scott Trimble', 'Errik Tustenuggee', 'Ravi Valleti', 'Jason Vaughn', 'A.J. Verel', 'Brian Waller', 'Steve Wharton', 'Wil Wheaton', 'Brianna Womick', 'Rob Wood', 'Lynnanne Zager']","['San Francisco, California', 'Spacecraft', 'Teleportation', 'Space Mission', 'Parachute', 'Time Travel', 'Black Hole', 'Supernova', 'Prequel', 'Warp Speed', 'Futuristic', 'Warp Engine', 'Space', 'Romulans', 'Alternate Reality', 'Space Opera', 'Reboot', 'Unlikely Friendship', 'Child Driving Car', '23Rd Century', 'Based On Tv Series', '24Th Century']","['Paramount', 'Spyglass Entertainment', 'Bad Robot', 'MavroCine Pictures GmbH & Co. KG']","['Germany', 'United States of America']"
832,A Charlie Brown Thanksgiving,1973,1973-11-20,7.3,180,8.212,0.42,0,0,,"['Animation', 'Comedy', 'Family', 'TV Movie']","['Todd Barbee', 'Robin Kohn', 'Stephen Shea', 'Christopher DeFaria', 'Hilary Momberger-Powers', 'Jimmy Ahrens', 'Robin Reed', 'Vince Guaraldi', 'Bill Melendez']","['Holiday', 'Thanksgiving', 'Boy And Dog', 'Jellybean']","['United Feature Syndicate (UFS)', 'Bill Melendez Productions', 'Lee Mendelson Film Productions']",['United States of America']
833,High School Musical 2,2007,2007-08-17,6.5,3279,27.979,1.85,0,7000000,,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']","['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman', 'Bart Johnson', 'Alyson Reed', 'Chris Warren', 'Jessica Tuck', 'Robert Curtis Brown', 'Mark L. Taylor', 'Ryne Sanborn', 'Olesya Rulin', 'Kaycee Stroh', 'Tanya Chisholm', 'Miley Cyrus', 'Kelli Baker', 'McCall Clark', 'Manly ""Little Pickles"" Ortega', 'Leslie Wing', 'Jaymz Tuaileva', 'Annette Wright', 'K. Danor Gerald', 'Charan Prabhakar', 'David Nibley', 'Dave Fox', 'Charles Hajek', 'Charles Klapow', 'Shawn Carter', 'Mollee Gray', 'Shane Harper', 'Bayli Baker', 'David Huff', 'Kimberly Klapow', 'Roger Malaga', 'Jared Murillo', 'Doug Penikas', 'Tyne Stecklein', 'Britt Stewart', 'Andrew Winston', 'Sarah K. Aezer', 'Christian Denice', 'Craig De Rosa', 'Raquel Goodsell', 'Allison Holker', 'Thayne Jasperson', 'Michelle Parker', 'Safari Natalia Sorenson', 'Hefa Leone Tuita', 'Lisa Whittaker', 'Danny Axley', 'Abe Leon Fullmer', 'Italo Elgueta', 'Nick Lanzisera', 'Gevorg Manoukian', 'Ryan Novak', 'Alan Salazar', 'Brittany Hipp', 'Amanda Godinez', 'Catherine Smith', 'Quinn Linde', 'Adam Gunn', 'Derek Bundy', 'Scott Hoopes', 'Berkeley Ward', 'Dakota Larsen', 'Johnny Ahn', 'Joseph Paul Branca', 'Chevy Lamont Cofield', 'Amanda Garrett', 'Mike Handy', 'Michael McQuain', ""Brandon O'Neal"", 'Joseph Winter']","['Musical', 'Summer', 'Summer Job', 'Country Club']","['Disney Channel', 'First Street Films', 'Salty Pictures', 'Walt Disney Pictures']",['United States of America']
